TAG,PC1,PC2,CLUSTER_KMEANS,CLUSTER_DBSCAN,TYPE_NORM,VALVE_APP_NORM,FLUID_CODE_NORM
ADV-5423001A,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001B,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001C,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001D,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001E,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001F,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001G,-1.2846610029259082,0.7453796385372052,1.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001H,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001J,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001K,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001L,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001M,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001N,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001P,-1.11338330500089,0.26087645328837583,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001Q,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001R,-1.2846610029259082,0.7453796385372052,1.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001S,-1.0277444560383806,0.018624860663961084,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001T,-1.0277444560383806,0.018624860663961084,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001U,-0.9421056070758715,-0.22362673196045355,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001V,-0.9421056070758715,-0.22362673196045355,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001W,-1.6794040578024936,1.395547754884621,1.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001X,-0.9206958948352443,-0.28418963011655723,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5423001Y,-0.9206958948352443,-0.28418963011655723,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5424001A,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5424001B,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
ADV-5424001C,-1.1990221539633992,0.5031280459127904,4.0,0,DIAPHRAGM VALVE,ADV,FW
