TAG;MODULE;PLANTGROUP;NPS_IN;DESIGN_MAX_PRESS_BAR;DESIGN_MIN_TEMP_NORM;OPER_NORM_TEMP_NORM;DESIGN_MAX_TEMP_NORM;TYPE_NORM;VALVE_APP_NORM;FLUID_CODE_NORM;CLUSTER_KMEANS;CLUSTER_DBSCAN
ADV-5423001A;MAIN DECK;5423;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001B;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001C;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001D;MAIN DECK;5423;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001E;MAIN DECK;5423;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001F;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001G;MAIN DECK;5423;10;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;1;-1
ADV-5423001H;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001J;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001K;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001L;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001M;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001N;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001P;MAIN DECK;5423;6;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001Q;MAIN DECK;5423;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001R;MAIN DECK;5423;10;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;1;-1
ADV-5423001S;MAIN DECK;5423;4;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001T;MAIN DECK;5423;4;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001U;MAIN DECK;5423;2;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001V;MAIN DECK;5423;2;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001W;MAIN DECK;5423;12;18,01325;21;27;57;DIAPHRAGM VALVE;ADV;FW;1;-1
ADV-5423001X;MAIN DECK;5423;1,5;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5423001Y;MAIN DECK;5423;1,5;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001A;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001B;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001C;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001D;MAIN DECK;5424;8;18013,25;0;27;57;DIAPHRAGM VALVE;ADV;FW;3;-1
ADV-5424001E;MAIN DECK;5424;8;18013,25;0;27;57;DIAPHRAGM VALVE;ADV;FW;3;-1
ADV-5424001F;MAIN DECK;5424;8;18013,25;0;27;57;DIAPHRAGM VALVE;ADV;FW;3;-1
ADV-5424001G;MAIN DECK;5424;8;18013,25;0;27;57;DIAPHRAGM VALVE;ADV;FW;3;-1
ADV-5424001H;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001J;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001K;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001L;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001M;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001N;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424001P;MAIN DECK;5424;8;18,01325;0;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424505;MAIN DECK;5424;6;18,01325;21;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424506;MAIN DECK;5424;6;18,01325;21;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
ADV-5424507;MAIN DECK;5424;6;18,01325;21;27;57;DIAPHRAGM VALVE;ADV;FW;4;-1
BDV-1223019;M-10B;1223;6;17,01325;0;96;110;BALL;BDV;PC;4;-1
BDV-1223042;M-10;1223;4;35,01;-46;50;110;BALL;BDV;PC;0;0
BDV-1223090;M-10;1223;6;31,01;0;39;110;BALL;BDV;PC;4;0
BDV-1225008A;M-05B;1225;6;15,01325;0;23;95;BALL;BDV;PC;4;0
BDV-1225008B;M-05B;1225;6;15,01325;0;23;95;BALL;BDV;PC;4;0
BDV-1225015A;M-05B;1225;10;17,01325;0;35;108;BALL;BDV;PC;1;0
BDV-1225015B;M-05B;1225;16;17,01325;0;35;108;BALL;BDV;PC;1;0
BDV-1231002A;M-03;1231;4;276,01325;-46;74;113;BALL;BDV;P;0;0
BDV-1231002B;M-03;1231;4;276,01325;-46;74;113;BALL;BDV;P;0;0
BDV-1231002C;M-03;1231;4;276,01325;-46;74;113;BALL;BDV;P;0;0
BDV-1231047;M-03;1231;4;276,01325;-46;35;70;BALL;BDV;P;0;0
BDV-1231048;M-09;1231;4;276,01325;-46;35;70;BALL;BDV;P;0;0
BDV-1231078B;M-03;1231;4;149,01325;-46;95;147;BALL;BDV;P;2;-1
